url,name
https://www.iqair.com/vi/vietnam/hanoi/phuong-phu-thuong,"Phường Phú Thượng"
https://www.iqair.com/vi/vietnam/hanoi/phuong-phu-thuong/iqair-unis,"IQAir UNIS, Phuong Phu Thuong"
https://www.iqair.com/vi/vietnam/hanoi/hanoi,"Hà Nội"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/minh-khai-bac-tu-liem,"Minh Khai - Bắc Từ Liêm, Hà Nội"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/ha-noi:-chi-cuc-bvmt-kk,"Hà Nội: Chi cục BVMT (KK), Hà Nội"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/toa-nha-charmvit-117-d,"Toa nha Charmvit, 117 D, Hà Nội"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/academy-rd,"Academy Rd, Hà Nội"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/uds-pharma-smartcity,"UDS Pharma - SmartCity, Hà Nội"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/mipec-long-bien,"Mipec Long Bien, Hà Nội"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/hoangquocviet,"Hoangquocviet, Hà Nội"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/khu-do-thi-ciputra,"Khu do thi Ciputra, Hà Nội"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/uds-pharmacy-oceanpark1,"UDS Pharmacy - OceanPark1, Văn Giang"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/cu-khoi-long-bien,"Cu Khoi, Long Bien, Hà Nội"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/lfay-french-school,"LFAY - French School, Hà Nội"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/linh-dam-thucpham-com-vi-ngon-thuong-hang,"Linh Dam - ThucPham.com - Vi Ngon Thuong Hang, Hà Nội"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/pho-lo-duc-2,"Pho Lo Duc 2"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/quang-ba-86tnv,"Quang Ba-86TNV"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/vinhome-riverside-hp7,"Vinhome riverside, HP7"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/smartosc,"SmartOSC"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/tu-hoa-str,"Tu Hoa str."
https://www.iqair.com/vi/vietnam/hanoi/hanoi/vinh-tuy-thucpham-com-vi-ngon-thuong-hang,"Vinh Tuy - ThucPham.com - Vi Ngon Thuong Hang"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/le-duan-hoan-kiem,"Le Duan - Hoan Kiem"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/to-ngoc-van-tay-ho,"To Ngoc Van Tay Ho"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/vivigo-vn,"Vivigo.vn"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/me-tri-may-lam-da-hai-au-hai-au-group,"Me Tri - May Lam Da Hai Au - Hai Au Group"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/dang-tay-ho,"Dang Tay Ho"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/ciputra-e5,"Ciputra E5"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/quang-khanh-tay-ho,"Quang Khanh, Tay Ho"
https://www.iqair.com/vi/vietnam/hanoi/hanoi/iqair-ha-noi,"IQAir Ha Noi"
https://www.iqair.com/vi/vietnam/hanoi/ha-dong,"Hà Đông"
https://www.iqair.com/vi/vietnam/hanoi/ha-dong/isph-school,"ISPH School"
https://www.iqair.com/vi/vietnam/hanoi/ha-dong/kv-dai-hoc-dai-nam,"KV - DAI HOC DAI NAM"
https://www.iqair.com/vi/vietnam/hanoi/thach-that,"Thach That"
https://www.iqair.com/vi/vietnam/hanoi/thach-that/dong-truc,"Dong Truc"
https://www.iqair.com/vi/vietnam/hanoi/hoan-kiem,"Hoàn Kiếm"
https://www.iqair.com/vi/vietnam/hanoi/hoan-kiem/tran-hung-dao,"Tran Hung Dao"
https://www.iqair.com/vi/vietnam/hanoi/tay-ho,"Tây Hồ"
https://www.iqair.com/vi/vietnam/hanoi/tay-ho/65-50-dang-thai-mai,"65/50 Dang Thai Mai"
https://www.iqair.com/vi/vietnam/hanoi/tay-ho/26-quang-khanh,"26 Quang Khanh"
https://www.iqair.com/vi/vietnam/hanoi/tay-ho/b5-admin,"B5 - Admin"
https://www.iqair.com/vi/vietnam/hanoi/tay-ho/b8-library-canteen,"B8 Library & Canteen"
https://www.iqair.com/vi/vietnam/hanoi/tay-ho/b6-admin,"B6 - Admin"
https://www.iqair.com/vi/vietnam/hanoi/tay-ho/kt-home-sun-s2a,"KT Home Sun S2A"
https://www.iqair.com/vi/vietnam/hanoi/tay-ho/p2-ciputra-hanoi,"P2 Ciputra Hanoi"
https://www.iqair.com/vi/vietnam/hanoi/tay-ho/p01-ciputra,"P01 Ciputra"
https://www.iqair.com/vi/vietnam/hanoi/hai-batrung,"Hai Ba Trung "
https://www.iqair.com/vi/vietnam/hanoi/hai-batrung/ha-noi:-tt-giao-luu-van-hoa-pho-co-hoan-kiem-tram-cam-bienkk,"Hà Nội: TT giao lưu văn hóa phố cổ - Hoàn Kiếm - Trạm cảm biến(KK)"
https://www.iqair.com/vi/vietnam/hanoi/hai-batrung/ha-noi:-dai-hoc-bách-khoa-cong-parabol-duong-giai-phong-kk,"Hà Nội: Đại Học Bách Khoa cổng Parabol đường Giải Phóng (KK)"
https://www.iqair.com/vi/vietnam/hanoi/thanh-xuan,"Thanh Xuân"
https://www.iqair.com/vi/vietnam/hanoi/thanh-xuan/ha-noi:-cong-vien-ho-dieu-hoa-nhan-chinh-khuat-duy-tien-kk,"Hà Nội: Công viên hồ điều hòa Nhân Chính  Khuất Duy Tiến (KK)"
https://www.iqair.com/vi/vietnam/hanoi/cau-giay,"Cầu Giấy"
https://www.iqair.com/vi/vietnam/hanoi/dong-anh,"Đông Anh"
https://www.iqair.com/vi/vietnam/hanoi/phung,"Phùng"
https://www.iqair.com/vi/vietnam/hanoi/troi,"Trôi"
https://www.iqair.com/vi/vietnam/hanoi/dong-da,"Đống Đa"
https://www.iqair.com/vi/vietnam/hanoi/me-linh,"Mê Linh"
https://www.iqair.com/vi/vietnam/hanoi/quoc-oai,"Quốc Oai"
https://www.iqair.com/vi/vietnam/hanoi/soc-son,"Sóc Sơn"
https://www.iqair.com/vi/vietnam/hanoi/trau-quy,"Trâu Quỳ"
https://www.iqair.com/vi/vietnam/hanoi/lien-quan,"Liên Quan"
https://www.iqair.com/vi/vietnam/hanoi/van-dien,"Văn Điển"
https://www.iqair.com/vi/vietnam/hanoi/chuc-son,"Chúc Sơn"
https://www.iqair.com/vi/vietnam/hanoi/phuc-tho,"Phúc Thọ"
https://www.iqair.com/vi/vietnam/hanoi/kim-bai,"Kim Bài"
https://www.iqair.com/vi/vietnam/hanoi/son-tay,"Son Tay"
https://www.iqair.com/vi/vietnam/hanoi/thuong-tin,"Thường Tín"
https://www.iqair.com/vi/vietnam/hanoi/phu-xuyen,"Phú Xuyên"
https://www.iqair.com/vi/vietnam/hanoi/van-dinh,"Vân Đình"
https://www.iqair.com/vi/vietnam/hanoi/tay-dang,"Tây Dằng"
https://www.iqair.com/vi/vietnam/hanoi/dai-nghia,"Đại Nghĩa"
https://www.iqair.com/vi/vietnam/hanoi/cau-dien,"Cầu Diễn"